LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
32.75,-124.25,DNR,              4.77,              4.96,              5.87,              6.79,              6.52,              5.66,              4.45,              5.08,              5.06,              5.35,              5.21,              4.68,              5.37
32.75,-124.25,KT,              0.55,              0.55,              0.58,              0.60,              0.59,              0.55,              0.49,              0.52,              0.55,              0.57,              0.56,              0.54,              0.55
32.75,-124.25,CLRSKY_SFC_SW_DWN,              3.98,              5.06,              6.46,              7.70,              8.45,              8.71,              8.52,              7.83,              6.77,              5.42,              4.20,              3.63,              6.39
32.75,-124.25,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-124.25,ALLSKY_SFC_SW_DWN,              3.02,              3.75,              4.97,              6.19,              6.54,              6.24,              5.46,              5.50,              4.87,              4.17,              3.34,              2.80,              4.74
32.75,-123.75,DNR,              4.89,              5.12,              5.98,              6.89,              6.54,              5.75,              4.42,              4.98,              5.15,              5.42,              5.36,              4.84,              5.44
32.75,-123.75,KT,              0.56,              0.56,              0.59,              0.61,              0.59,              0.55,              0.48,              0.52,              0.55,              0.57,              0.58,              0.55,              0.56
32.75,-123.75,CLRSKY_SFC_SW_DWN,              3.98,              5.06,              6.49,              7.71,              8.46,              8.70,              8.52,              7.84,              6.77,              5.42,              4.21,              3.63,              6.40
32.75,-123.75,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-123.75,ALLSKY_SFC_SW_DWN,              3.06,              3.81,              5.02,              6.24,              6.55,              6.29,              5.44,              5.44,              4.91,              4.20,              3.39,              2.85,              4.77
32.75,-123.25,DNR,              4.89,              5.12,              5.98,              6.89,              6.54,              5.75,              4.42,              4.98,              5.15,              5.42,              5.36,              4.84,              5.44
32.75,-123.25,KT,              0.56,              0.56,              0.59,              0.61,              0.59,              0.55,              0.48,              0.52,              0.55,              0.57,              0.58,              0.55,              0.56
32.75,-123.25,CLRSKY_SFC_SW_DWN,              3.98,              5.06,              6.49,              7.71,              8.46,              8.70,              8.52,              7.84,              6.77,              5.42,              4.21,              3.63,              6.40
32.75,-123.25,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-123.25,ALLSKY_SFC_SW_DWN,              3.06,              3.81,              5.02,              6.24,              6.55,              6.29,              5.44,              5.44,              4.91,              4.20,              3.39,              2.85,              4.77
32.75,-122.75,DNR,              5.07,              5.32,              6.05,              7.07,              6.61,              5.90,              4.49,              4.85,              5.21,              5.35,              5.54,              5.00,              5.53
32.75,-122.75,KT,              0.57,              0.57,              0.59,              0.62,              0.59,              0.56,              0.48,              0.51,              0.55,              0.57,              0.59,              0.56,              0.56
32.75,-122.75,CLRSKY_SFC_SW_DWN,              3.99,              5.07,              6.50,              7.72,              8.47,              8.75,              8.52,              7.85,              6.79,              5.43,              4.23,              3.65,              6.41
32.75,-122.75,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-122.75,ALLSKY_SFC_SW_DWN,              3.12,              3.89,              5.05,              6.32,              6.59,              6.37,              5.48,              5.37,              4.94,              4.17,              3.45,              2.90,              4.80
32.75,-122.25,DNR,              5.07,              5.32,              6.05,              7.07,              6.61,              5.90,              4.49,              4.85,              5.21,              5.35,              5.54,              5.00,              5.53
32.75,-122.25,KT,              0.57,              0.57,              0.59,              0.62,              0.59,              0.56,              0.48,              0.51,              0.55,              0.57,              0.59,              0.56,              0.56
32.75,-122.25,CLRSKY_SFC_SW_DWN,              3.99,              5.07,              6.50,              7.72,              8.47,              8.75,              8.52,              7.85,              6.79,              5.43,              4.23,              3.65,              6.41
32.75,-122.25,ALLSKY_TOA_SW_DWN,              5.54,              6.90,              8.63,             10.16,             11.14,             11.49,             11.27,             10.46,              9.11,              7.43,              5.88,              5.12,              8.59
32.75,-122.25,ALLSKY_SFC_SW_DWN,              3.12,              3.89,              5.05,              6.32,              6.59,              6.37,              5.48,              5.37,              4.94,              4.17,              3.45,              2.90,              4.80
32.75,-121.75,DNR,              5.29,              5.51,              6.14,              7.22,              6.69,              5.90,              4.42,              4.73,              5.19,              5.25,              5.69,              5.23,              5.60
32.75,-121.75,KT,              0.58,              0.58,              0.60,              0.63,              0.60,              0.55,              0.48,              0.50,              0.55,              0.57,              0.60,              0.58,              0.57
