LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
32.75,-124.25,DNR,              4.77,              4.96,              5.87,              6.79,              6.52,              5.66,              4.45,              5.08,              5.06,              5.35,              5.21,              4.68,              5.37
32.75,-123.75,DNR,              4.89,              5.12,              5.98,              6.89,              6.54,              5.75,              4.42,              4.98,              5.15,              5.42,              5.36,              4.84,              5.44
32.75,-123.25,DNR,              4.89,              5.12,              5.98,              6.89,              6.54,              5.75,              4.42,              4.98,              5.15,              5.42,              5.36,              4.84,              5.44
32.75,-122.75,DNR,              5.07,              5.32,              6.05,              7.07,              6.61,              5.90,              4.49,              4.85,              5.21,              5.35,              5.54,              5.00,              5.53
32.75,-122.25,DNR,              5.07,              5.32,              6.05,              7.07,              6.61,              5.90,              4.49,              4.85,              5.21,              5.35,              5.54,              5.00,              5.53
32.75,-121.75,DNR,              5.29,              5.51,              6.14,              7.22,              6.69,              5.90,              4.42,              4.73,              5.19,              5.25,              5.69,              5.23,              5.60
32.75,-121.25,DNR,              5.29,              5.51,              6.14,              7.22,              6.69,              5.90,              4.42,              4.73,              5.19,              5.25,              5.69,              5.23,              5.60
32.75,-120.75,DNR,              5.47,              5.72,              6.40,              7.41,              6.63,              5.70,              4.29,              4.53,              5.08,              5.23,              5.91,              5.43,              5.65
32.75,-120.25,DNR,              5.47,              5.72,              6.40,              7.41,              6.63,              5.70,              4.29,              4.53,              5.08,              5.23,              5.91,              5.43,              5.65
32.75,-119.75,DNR,              5.57,              5.86,              6.47,              7.46,              6.46,              5.38,              4.39,              4.58,              5.10,              5.15,              6.03,              5.57,              5.66
33.25,-124.25,DNR,              4.68,              4.92,              5.74,              6.78,              6.62,              5.84,              4.66,              5.20,              5.15,              5.44,              5.16,              4.63,              5.40
33.25,-123.75,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.25,-123.25,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.25,-122.75,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.25,-122.25,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.25,-121.75,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.25,-121.25,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.25,-120.75,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.25,-120.25,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.25,-119.75,DNR,              5.63,              6.00,              6.90,              7.92,              7.47,              6.40,              5.46,              5.71,              5.87,              5.69,              6.29,              5.68,              6.25
33.75,-124.25,DNR,              4.68,              4.92,              5.74,              6.78,              6.62,              5.84,              4.66,              5.20,              5.15,              5.44,              5.16,              4.63,              5.40
33.75,-123.75,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.75,-123.25,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.75,-122.75,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.75,-122.25,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.75,-121.75,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.75,-121.25,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.75,-120.75,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.75,-120.25,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.75,-119.75,DNR,              5.63,              6.00,              6.90,              7.92,              7.47,              6.40,              5.46,              5.71,              5.87,              5.69,              6.29,              5.68,              6.25
34.25,-124.25,DNR,              4.50,              4.86,              5.76,              6.75,              6.67,              6.04,              4.95,              5.36,              5.29,              5.52,              5.08,              4.54,              5.44
34.25,-123.75,DNR,              4.65,              4.94,              5.81,              6.97,              6.79,              6.21,              4.79,              5.19,              5.26,              5.52,              5.23,              4.64,              5.50
34.25,-123.25,DNR,              4.65,              4.94,              5.81,              6.97,              6.79,              6.21,              4.79,              5.19,              5.26,              5.52,              5.23,              4.64,              5.50
34.25,-122.75,DNR,              4.84,              5.10,              6.04,              7.14,              6.89,              6.28,              4.62,              5.01,              5.22,              5.40,              5.45,              4.84,              5.57
34.25,-122.25,DNR,              4.84,              5.10,              6.04,              7.14,              6.89,              6.28,              4.62,              5.01,              5.22,              5.40,              5.45,              4.84,              5.57
34.25,-121.75,DNR,              5.10,              5.34,              6.30,              7.43,              7.16,              6.34,              4.66,              4.84,              5.24,              5.45,              5.68,              5.12,              5.72
34.25,-121.25,DNR,              5.10,              5.34,              6.30,              7.43,              7.16,              6.34,              4.66,              4.84,              5.24,              5.45,              5.68,              5.12,              5.72
34.25,-120.75,DNR,              5.20,              5.48,              6.47,              7.60,              7.59,              6.76,              5.24,              5.47,              5.63,              5.68,              5.74,              5.19,              6.00
34.25,-120.25,DNR,              5.20,              5.48,              6.47,              7.60,              7.59,              6.76,              5.24,              5.47,              5.63,              5.68,              5.74,              5.19,              6.00
34.25,-119.75,DNR,              5.10,              5.42,              6.61,              8.22,              8.72,              8.51,              7.83,              7.42,              6.80,              6.21,              5.84,              5.01,              6.81
34.75,-124.25,DNR,              4.50,              4.86,              5.76,              6.75,              6.67,              6.04,              4.95,              5.36,              5.29,              5.52,              5.08,              4.54,              5.44
34.75,-123.75,DNR,              4.65,              4.94,              5.81,              6.97,              6.79,              6.21,              4.79,              5.19,              5.26,              5.52,              5.23,              4.64,              5.50
34.75,-123.25,DNR,              4.65,              4.94,              5.81,              6.97,              6.79,              6.21,              4.79,              5.19,              5.26,              5.52,              5.23,              4.64,              5.50
34.75,-122.75,DNR,              4.84,              5.10,              6.04,              7.14,              6.89,              6.28,              4.62,              5.01,              5.22,              5.40,              5.45,              4.84,              5.57
34.75,-122.25,DNR,              4.84,              5.10,              6.04,              7.14,              6.89,              6.28,              4.62,              5.01,              5.22,              5.40,              5.45,              4.84,              5.57
34.75,-121.75,DNR,              5.10,              5.34,              6.30,              7.43,              7.16,              6.34,              4.66,              4.84,              5.24,              5.45,              5.68,              5.12,              5.72
34.75,-121.25,DNR,              5.10,              5.34,              6.30,              7.43,              7.16,              6.34,              4.66,              4.84,              5.24,              5.45,              5.68,              5.12,              5.72
34.75,-120.75,DNR,              5.20,              5.48,              6.47,              7.60,              7.59,              6.76,              5.24,              5.47,              5.63,              5.68,              5.74,              5.19,              6.00
34.75,-120.25,DNR,              5.20,              5.48,              6.47,              7.60,              7.59,              6.76,              5.24,              5.47,              5.63,              5.68,              5.74,              5.19,              6.00
